[\\mb-fps3\Data\Data_T2\Res_Sa2_25\San_Lea_25.225|0|0],"","",""
IDENT.Ident193,"N","N","Mailing address – Use address of preparer"
IDENT.Ident336,"N","N","Location of books and records – Use address of preparer"
IDENT.Ident204,"4540 Papineau","4540 Papineau","Line 031 – Location of books and records – Address – line 1"
IDENT.Ident206,"Montreal","Montreal","Line 035 – Location of books and records – City"
IDENT.Ident207,"QC","QC","Line 036 – Location of books and records – Province, territory, or state"
IDENT.Ident209,"H2H 1V3","H2H 1V3","Line 038 – Location of books and records – Postal Code"
IDENT.Ident250,"N","N","Line 280 – Is the corporation inactive?"
IDENT.Ident422,"532420","532420","What is the corporation's main revenue-generating business activity?"
IDENT.Ident254,"Equipment rental","Equipment rental","Line 284 – Specify the principal products mined, manufactured, sold, constructed, or services provided"
IDENT.Ident257,"1.00000","1.00000","Line 285 – Give approximate percentage of the total revenue that product or service at line 284 represents."
IDENT.Ident408,"Y","Y","Was an amount deducted under section 125 ITA in computing the corporation’s tax payable for its preceding taxation year?"
IDENT.Ident212,"Sandhu","Sandhu","Line 950 – Authorized signing officer of the corporation – Last name"
IDENT.Ident339,"Mr","Mr","Authorized signing officer of the corporation – Title"
IDENT.Ident213,"Gurpreet Singh","Gurpreet Singh","Line 951 – Authorized signing officer of the corporation – First name"
IDENT.Ident214,"President","President","Line 954 – Authorized signing officer of the corporation – Position, office, or rank"
T2HeaderFile.SchedProdDate,"2025-09-25","2024-09-25","Authorized signing officer of the corporation – Date of signing"
IDENT.Ident310,"(514) 887-8685","(514) 887-8685","Line 956 – Authorized signing officer of the corporation – Phone"
IDENT.Ident224,"Y","Y","Line 957 – Is the contact person the same as the authorized signing officer? "
IDENT.Ident229,"N","N","Is the contact person the preparer?"
IDENT.Ident230,"1","1","Line 990 – Indicate your language of correspondence of your choice."
FDTED.TTwted12,"0","0","Status – Accepted – Transmission service used – Québec"
GFGIB.Ttwgib1,"2749-8567 Québec Inc.","2749-8567 Québec Inc.","Name of the corporation"
GFGIB.Ttwgib7,"2025-03-31","2024-03-31","Taxation year end"
GFGIB.Ttwgib40,"318,506","246,150","Prior year – GIFI code 1599 – Total current assets"
GFGIB.Ttwgib41,"620,357","600,465","Prior year – GIFI code 2008 – Total tangible capital assets"
GFGIB.Ttwgib42,"521,079","498,434","Prior year – GIFI code 2009 – Total accumulated amortization of tangible capital assets"
GFGIB.Ttwgib47,"417,784","348,181","Prior year – GIFI code 2599 – Total assets"
GFGIB.Ttwgib48,"295,133","152,579","Prior year – GIFI code 3139 – Total current liabilities"
GFGIB.Ttwgib52,"295,133","247,565","Prior year – GIFI code 3499 – Total liabilities"
GFGIB.Ttwgib53,"122,651","100,616","Prior year – GIFI code 3620 – Total shareholder equity"
GFGIB.Ttwgib55,"122,551","100,516","Prior year – GIFI code 3849 – Retained earnings/deficit – end"
GFGBA.Ttwgba64,"5,031","2,407","GIFI code 1002 – Deposits in Canadian banks and institutions – Canadian currency"
GFGBA.Ttwgba120,"370,606","311,283","GIFI code 1403 – Loans/advances due from related parties"
GFGBA.Ttwgba127,"3,587","4,816","GIFI code 1484 – Prepaid expenses"
GFGBA.Ttwgba134,"2,407","3,877","Prior year – GIFI code 1002 – Deposits in Canadian banks and institutions – Canadian currency"
GFGBA.Ttwgba190,"311,283","241,495","Prior year – GIFI code 1403 – Loans/advances due from related parties"
GFGBA.Ttwgba197,"4,816","778","Prior year – GIFI code 1484 – Prepaid expenses"
GFGBB.Ttwgbb112,"22,991","22,991","Tangible capital property – GIFI code 1742 – Motor vehicles"
GFGBB.Ttwgbb164,"22,410","22,161","GIFI code 1743 – Accumulated amortization of motor vehicles"
GFGBB.Ttwgbb125,"10,600","10,600","Tangible capital property – GIFI code 1768 – Signs"
GFGBB.Ttwgbb177,"9,868","9,685","GIFI code 1769 – Accumulated amortization of signs"
GFGBB.Ttwgbb128,"42,158","42,158","Tangible capital property – GIFI code 1774 – Computer equipment/software"
GFGBB.Ttwgbb180,"41,519","41,245","GIFI code 1775 – Accumulated amortization of computer equipment/software"
GFGBB.Ttwgbb134,"449,547","449,547","Tangible capital property – GIFI code 1785 – Other machinery and equipment"
GFGBB.Ttwgbb185,"376,847","358,672","GIFI code 1786 – Accumulated amortization of other machinery and equipment"
GFGBB.Ttwgbb135,"93,715","93,715","Tangible capital property – GIFI code 1787 – Furniture and fixtures"
GFGBB.Ttwgbb186,"89,185","88,053","GIFI code 1788 – Accumulated amortization of furniture and fixtures"
GFGBB.Ttwgbb137,"1,346","1,346","Tangible capital property – GIFI code 1900 – Other tangible capital assets"
GFGBB.Ttwgbb188,"1,280","1,263","GIFI code 1901 – Accumulated amortization of other tangible capital assets"
GFGBB.Ttwgbb225,"22,991","22,991","Prior year – GIFI code 1742 – Motor vehicles"
GFGBB.Ttwgbb226,"22,161","21,805","Prior year – GIFI code 1743 – Accumulated amortization of motor vehicles"
GFGBB.Ttwgbb251,"10,600","10,600","Prior year – GIFI code 1768 – Signs"
GFGBB.Ttwgbb252,"9,685","9,456","Prior year – GIFI code 1769 – Accumulated amortization of signs"
GFGBB.Ttwgbb257,"42,158","42,158","Prior year – GIFI code 1774 – Computer equipment/software"
GFGBB.Ttwgbb258,"41,245","40,853","Prior year – GIFI code 1775 – Accumulated amortization of computer equipment/software"
GFGBB.Ttwgbb268,"449,547","429,655","Prior year – GIFI code 1785 – Other machinery and equipment"
GFGBB.Ttwgbb269,"358,672","338,440","Prior year – GIFI code 1786 – Accumulated amortization of other machinery and equipment"
GFGBB.Ttwgbb270,"93,715","93,715","Prior year – GIFI code 1787 – Furniture and fixtures"
GFGBB.Ttwgbb271,"88,053","86,638","Prior year – GIFI code 1788 – Accumulated amortization of furniture and fixtures"
GFGBB.Ttwgbb272,"1,346","1,346","Prior year – GIFI code 1900 – Other tangible capital assets"
GFGBB.Ttwgbb273,"1,263","1,242","Prior year – GIFI code 1901 – Accumulated amortization of other tangible capital assets"
GFGBG.Ttwgbg41,"3,925","8,283","GIFI code 2620 – Amounts payable and accrued liabilities"
GFGBG.Ttwgbg49,"3,369","2,652","GIFI code 2628 – Withholding taxes payable"
GFGBG.Ttwgbg52,"4,196","3,918","GIFI code 2680 – Taxes payable"
GFGBG.Ttwgbg65,"106,403","106,179","GIFI code 2783 – Due to director(s)"
GFGBG.Ttwgbg71,"196,044","174,101","GIFI code 2863 – Advances due to related parties"
GFGBG.Ttwgbg85,"8,283","640","Prior year – GIFI code 2620 – Amounts payable and accrued liabilities"
GFGBG.Ttwgbg93,"2,652","2,593","Prior year – GIFI code 2628 – Withholding taxes payable"
GFGBG.Ttwgbg96,"3,918","3,017","Prior year – GIFI code 2680 – Taxes payable"
GFGBG.Ttwgbg109,"106,179","4,686","Prior year – GIFI code 2783 – Due to director(s)"
GFGBG.Ttwgbg115,"174,101","141,643","Prior year – GIFI code 2863 – Advances due to related parties"
GFGBI.Ttwgbi10,"100","100","GIFI code 3500 – Common shares"
GFGBI.Ttwgbi20,"100","100","Prior year – GIFI code 3500 – Common shares"
GFGBI.Ttwgbi28,"122,551","100,516","Prior year – GIFI code 3600 – Retained earnings/deficit"
GFGBJ.Ttwgbj13,"122,551","100,516","GIFI code 3660 – Retained earnings/deficit – start"
GFGBJ.Ttwgbj27,"100,516","77,932","Prior year – GIFI code 3660 – Retained earnings/deficit – start"
GFGBJ.Ttwgbj28,"22,035","22,584","Prior year – GIFI code 3680 – Net income/loss"
GFBGII[1].GFGIJ.Ttwgij160,"109,765","84,565","Prior year – GIFI code 8089 – Total sales of goods and services"
GFBGII[1].GFGII.Ttwgii33,"109,765","84,565","Prior year – GIFI code 8519 – Gross profit/loss"
GFBGII[1].GFGII.Ttwgii34,"84,604","58,134","Prior year – GIFI code 9367 – Total operating expenses"
GFBGII[1].GFGII.Ttwgii29,"84,604","58,134","Prior year – GIFI code 9368 – Total expenses"
GFBGII[1].GFGII.Ttwgii28,"109,765","83,735","Prior year – GIFI code 8299 – Total revenue"
GFBGII[1].GFGIJ.Ttwgij68,"109,765","109,765","GIFI code 8000 – Amount – Trade sales of goods and services"
GFBGII[1].GFGIJ.Ttwgij116,"","0","GIFI code 8210 – Amount – Realized gains/losses on disposal of assets"
GFBGII[1].GFGIJ.Ttwgij143,"109,765","84,565","Prior year – GIFI code 8000 – Trade sales of goods and services"
GFBGII[1].GFGIL.Ttwgil137,"20,030","22,645","GIFI code 8670 – Amount – Amortization of tangible assets"
GFBGII[1].GFGIL.Ttwgil138,"4,508","4,158","GIFI code 8690 – Amount – Insurance"
GFBGII[1].GFGIL.Ttwgil141,"462","153","GIFI code 8710 – Amount – Interest and bank charges"
GFBGII[1].GFGIL.Ttwgil154,"1,108","950","GIFI code 8760 – Amount – Business taxes, licences, and memberships"
GFBGII[1].GFGIL.Ttwgil167,"2,375","7,730","GIFI code 8860 – Amount – Professional fees"
GFBGII[1].GFGIL.Ttwgil178,"36,000","25,000","GIFI code 8871 – Amount – Management and administration fees"
GFBGII[1].GFGIL.Ttwgil190,"19,008","19,008","GIFI code 8914 – Amount – Equipment rental"
GFBGII[1].GFGIL.Ttwgil196,"194","4,960","GIFI code 8960 – Amount – Repairs and maintenance"
GFBGII[1].GFGIL.Ttwgil273,"22,645","25,230","Prior year – GIFI code 8670 – Amortization of tangible assets"
GFBGII[1].GFGIL.Ttwgil274,"4,158","3,851","Prior year – GIFI code 8690 – Insurance"
GFBGII[1].GFGIL.Ttwgil277,"153","124","Prior year – GIFI code 8710 – Interest and bank charges"
GFBGII[1].GFGIL.Ttwgil290,"950","1,279","Prior year – GIFI code 8760 – Business taxes, licences, and memberships"
GFBGII[1].GFGIL.Ttwgil303,"7,730","3,650","Prior year – GIFI code 8860 – Professional fees"
GFBGII[1].GFGIL.Ttwgil314,"25,000","24,000","Prior year – GIFI code 8871 – Management and administration fees"
GFBGII[1].GFGIL.Ttwgil326,"19,008","","Prior year – GIFI code 8914 – Equipment rental"
GFBGII[1].GFGIL.Ttwgil332,"4,960","","Prior year – GIFI code 8960 – Repairs and maintenance"
GFGFA.Ttwgfa14,"4,196","3,126","GIFI code 9990 – Amount – Current income taxes"
GFGFA.Ttwgfa22,"3,126","3,017","Prior year – GIFI code 9990 – Current income taxes"
GFGFA.Ttwgfa24,"22,035","22,584","Prior year – GIFI code 9999 – Net income/loss after taxes and extraordinary Items"
GFGHA.Ttwgha9,"1","1","Can you identify the person specified in the heading of Part 1? If you answered no, go to part 2."
GFGHA.Ttwgha21,"Y","Y","Does that person have a professional designation in accounting?"
GFGHA.Ttwgha24,"N","N","Is that person connected with the corporation?"
GFGHA.Ttwgha48,"N","N","Completed an auditor's report"
GFGHA.Ttwgha49,"N","N","Completed a review engagement report"
GFGHA.Ttwgha50,"Y","Y","Conducted a compilation engagement"
GFGHA.Ttwgha7,"N","N","Were notes to the financial statements prepared?"
GFGHA.Ttwgha11,"2","2","Did the corporation have any subsequent events?"
GFGHA.Ttwgha12,"2","2","Did the corporation re-evaluate its assets during the tax year?"
GFGHA.Ttwgha13,"2","2","Did the corporation have any contingent liabilities during the tax year?"
GFGHA.Ttwgha14,"2","2","Did the corporation have any commitments during the tax year?"
GFGHA.Ttwgha15,"N","N","Does the corporation have investments in joint venture(s) or partnership(s)?"
GFGHA.Ttwgha31,"2","2","In any of the following assets, was an amount recognized in net income or other comprehensive income (OCI) as a result of an impairment loss in the tax year, a reversal of an impairment loss recognized in a previous tax year, or a change in fair value during the tax year?"
GFGHA.Ttwgha42,"2","2","Did the corporation derecognize any financial instrument(s) during the tax year (other than trade receivables)?"
GFGHA.Ttwgha43,"2","2","Did the corporation apply hedge accounting during the tax year?"
GFGHA.Ttwgha44,"2","2","Did the corporation discontinue hedge accounting during the tax year?"
GFGHA.Ttwgha45,"2","2","Was an amount included in the opening balance of retained earnings or equity, in order to correct an error, to recognize a change in accounting policy, or to adopt a new accounting standard in the current tax year?"
GFGHA.Ttwgha54,"N","N","Prepared the T2 return and the financial information contained therein"
GFGHA.Ttwgha55,"N","N","The client provided the financial statements"
GNOTE.Ttnote1,"     ","     ","Notes to the financial statements"
ProfDL.Ttwpdl501,"2749-8567 Quebec Inc.","2749-8567 Quebec Inc.","Model Properties – Corporation's name"
ProfDL.Ttwpdl504,"Equipment rental","Equipment rental","Model Properties – Industry type"
ProfDL.Ttwpdl506,"Gurpreet Singh Sandhu","Gurpreet Singh Sandhu","Model Properties – Primary contact"
ProfDL.Ttwpdl507,"(514) 887-8685","(514) 887-8685","Model Properties – Contact number"
ProfDL.Ttwpdl509,"4540 Papineau","4540 Papineau","Model Properties – Street address"
ProfDL.Ttwpdl510,"Montreal","Montreal","Model Properties – City"
ProfDL.Ttwpdl511,"QC","QC","Model Properties – Province/State"
ProfDL.Ttwpdl512,"H2H1V3","H2H1V3","Model Properties – Postal code"
ProfDL.Ttwpdl101,"109,765","84,565","Income Statement – Revenue – 1st prior year"
ProfDL.Ttwpdl107,"42,798","32,780","Income Statement – Operating expenses – 1st prior year"
ProfDL.Ttwpdl109,"22,645","25,230","Income Statement – Depreciation (tangible assets) – 1st prior year"
ProfDL.Ttwpdl549,"19,008","","Income Statement – Lease/rent expense – 1st prior year"
ProfDL.Ttwpdl116,"153","124","Income Statement – Interest expense – 1st prior year"
ProfDL.Ttwpdl118,"3,126","3,017","Income Statement – Taxes – 1st prior year"
ProfDL.Ttwpdl125,"2,407","3,877","Balance Sheet – Cash and equivalents – 1st prior year"
ProfDL.Ttwpdl136,"4,816","778","Balance Sheet – Prepaid expenses – 1st prior year"
ProfDL.Ttwpdl679,"311,283","241,495","Balance Sheet – Loans to rel. parties – CP – 1st prior year"
ProfDL.Ttwpdl139,"1,346","1,346","Balance Sheet – Fixed assets – 1st prior year"
ProfDL.Ttwpdl724,"502,305","482,413","Balance Sheet – Equipment – 1st prior year"
ProfDL.Ttwpdl729,"22,991","22,991","Balance Sheet – Vehicles – 1st prior year"
ProfDL.Ttwpdl734,"93,715","93,715","Balance Sheet – Furniture and fixtures – 1st prior year"
ProfDL.Ttwpdl749,"-521,079","-498,434","Balance Sheet – Accumulated depn (-) – 1st prior year"
ProfDL.Ttwpdl155,"10,935","3,233","Balance Sheet – Accounts Payable – 1st prior year"
ProfDL.Ttwpdl159,"3,918","3,017","Balance Sheet – Tax Payable – 1st prior year"
ProfDL.Ttwpdl163,"174,101","141,643","Balance Sheet – Due to rel. parties – CP – 1st prior year"
ProfDL.Ttwpdl165,"106,179","4,686","Balance Sheet – Non Trade Creditors – 1st prior year"
ProfDL.Ttwpdl894,"100","100","Balance Sheet – Common stock – 1st prior year"
ProfDL.Ttwpdl187,"100,516","77,932","Balance Sheet – Previous Balance – 1st prior year"
ProfDL.Ttwpdl201,"84,565","59,137","Income Statement – Revenue – 2nd prior year"
ProfDL.Ttwpdl207,"32,780","22,020","Income Statement – Operating expenses – 2nd prior year"
ProfDL.Ttwpdl209,"25,230","30,403","Income Statement – Depreciation (tangible assets) – 2nd prior year"
ProfDL.Ttwpdl212,"830","","Income Statement – (Gain)/Loss disp. of assets – 2nd prior year"
ProfDL.Ttwpdl216,"124","195","Income Statement – Interest expense – 2nd prior year"
ProfDL.Ttwpdl218,"3,017","","Income Statement – Taxes – 2nd prior year"
ProfDL.Ttwpdl225,"3,877","3,181","Balance Sheet – Cash and equivalents – 2nd prior year"
ProfDL.Ttwpdl236,"778","790","Balance Sheet – Prepaid expenses – 2nd prior year"
ProfDL.Ttwpdl680,"241,495","189,489","Balance Sheet – Loans to rel. parties – CP – 2nd prior year"
ProfDL.Ttwpdl239,"1,346","1,346","Balance Sheet – Fixed assets – 2nd prior year"
ProfDL.Ttwpdl725,"482,413","476,838","Balance Sheet – Equipment – 2nd prior year"
ProfDL.Ttwpdl730,"22,991","91,469","Balance Sheet – Vehicles – 2nd prior year"
ProfDL.Ttwpdl735,"93,715","93,715","Balance Sheet – Furniture and fixtures – 2nd prior year"
ProfDL.Ttwpdl750,"-498,434","-540,852","Balance Sheet – Accumulated depn (-) – 2nd prior year"
ProfDL.Ttwpdl255,"3,233","2,863","Balance Sheet – Accounts Payable – 2nd prior year"
ProfDL.Ttwpdl259,"3,017","","Balance Sheet – Tax Payable – 2nd prior year"
ProfDL.Ttwpdl263,"141,643","135,330","Balance Sheet – Due to rel. parties – CP – 2nd prior year"
ProfDL.Ttwpdl265,"4,686","4,686","Balance Sheet – Non Trade Creditors – 2nd prior year"
ProfDL.Ttwpdl275,"94,986","95,065","Balance Sheet – Loans from related Co – NC – 2nd prior year"
ProfDL.Ttwpdl895,"100","100","Balance Sheet – Common stock – 2nd prior year"
ProfDL.Ttwpdl287,"77,932","71,413","Balance Sheet – Previous Balance – 2nd prior year"
ProfDL.Ttwpdl301,"59,137","59,138","Income Statement – Revenue – 3rd prior year"
ProfDL.Ttwpdl307,"22,020","29,786","Income Statement – Operating expenses – 3rd prior year"
ProfDL.Ttwpdl309,"30,403","28,538","Income Statement – Depreciation (tangible assets) – 3rd prior year"
ProfDL.Ttwpdl316,"195","230","Income Statement – Interest expense – 3rd prior year"
ProfDL.Ttwpdl325,"3,181","1,547","Balance Sheet – Cash and equivalents – 3rd prior year"
ProfDL.Ttwpdl336,"790","792","Balance Sheet – Prepaid expenses – 3rd prior year"
ProfDL.Ttwpdl681,"189,489","149,852","Balance Sheet – Loans to rel. parties – CP – 3rd prior year"
ProfDL.Ttwpdl339,"1,346","1,346","Balance Sheet – Fixed assets – 3rd prior year"
ProfDL.Ttwpdl726,"476,838","469,108","Balance Sheet – Equipment – 3rd prior year"
ProfDL.Ttwpdl731,"91,469","91,296","Balance Sheet – Vehicles – 3rd prior year"
ProfDL.Ttwpdl736,"93,715","93,715","Balance Sheet – Furniture and fixtures – 3rd prior year"
ProfDL.Ttwpdl751,"-540,852","-510,449","Balance Sheet – Accumulated depn (-) – 3rd prior year"
ProfDL.Ttwpdl355,"2,863","2,865","Balance Sheet – Accounts Payable – 3rd prior year"
ProfDL.Ttwpdl363,"135,330","165,110","Balance Sheet – Due to rel. parties – CP – 3rd prior year"
ProfDL.Ttwpdl365,"4,686","607","Balance Sheet – Non Trade Creditors – 3rd prior year"
ProfDL.Ttwpdl375,"95,065","57,112","Balance Sheet – Loans from related Co – NC – 3rd prior year"
ProfDL.Ttwpdl896,"100","100","Balance Sheet – Common stock – 3rd prior year"
ProfDL.Ttwpdl387,"71,413","70,829","Balance Sheet – Previous Balance – 3rd prior year"
ProfDL.Ttwpdl401,"59,138","82,754","Income Statement – Revenue – 4th prior year"
ProfDL.Ttwpdl407,"29,786","38,405","Income Statement – Operating expenses – 4th prior year"
ProfDL.Ttwpdl409,"28,538","26,798","Income Statement – Depreciation (tangible assets) – 4th prior year"
ProfDL.Ttwpdl416,"230","208","Income Statement – Interest expense – 4th prior year"
ProfDL.Ttwpdl425,"1,547","2,349","Balance Sheet – Cash and equivalents – 4th prior year"
ProfDL.Ttwpdl436,"792","","Balance Sheet – Prepaid expenses – 4th prior year"
ProfDL.Ttwpdl682,"149,852","194,394","Balance Sheet – Loans to rel. parties – CP – 4th prior year"
ProfDL.Ttwpdl439,"1,346","1,346","Balance Sheet – Fixed assets – 4th prior year"
ProfDL.Ttwpdl727,"469,108","398,772","Balance Sheet – Equipment – 4th prior year"
ProfDL.Ttwpdl732,"91,296","91,296","Balance Sheet – Vehicles – 4th prior year"
ProfDL.Ttwpdl737,"93,715","93,715","Balance Sheet – Furniture and fixtures – 4th prior year"
ProfDL.Ttwpdl752,"-510,449","-481,911","Balance Sheet – Accumulated depn (-) – 4th prior year"
ProfDL.Ttwpdl455,"2,865","3,694","Balance Sheet – Accounts Payable – 4th prior year"
ProfDL.Ttwpdl463,"165,110","165,110","Balance Sheet – Due to rel. parties – CP – 4th prior year"
ProfDL.Ttwpdl465,"607","607","Balance Sheet – Non Trade Creditors – 4th prior year"
ProfDL.Ttwpdl475,"57,112","57,112","Balance Sheet – Loans from related Co – NC – 4th prior year"
ProfDL.Ttwpdl897,"100","100","Balance Sheet – Common stock – 4th prior year"
ProfDL.Ttwpdl487,"70,829","55,995","Balance Sheet – Previous Balance – 4th prior year"
FDONE.Ttwone13,"328","0","Line 103 – Interest and penalties on taxes"
FDONE.Ttwone234,"","22,584","Prior year – Net income (loss) after taxes and extraordinary items from line 9999 of Schedule 125"
FDONE.Ttwone251,"3,126","3,017","Prior year – Line 101 – Provision for income taxes – current"
FDONE.Ttwone254,"22,645","25,230","Prior year – Line 104 – Amortization of tangible assets"
FDONE.Ttwone339,"22,185","23,599","Prior year – Line 403 – Capital cost allowance from Schedule 8"
FDCRY.Ttwcry258,"25,621","24,729","Adjusted taxable income – First previous tax year"
FDCRY.Ttwcry259,"24,729","0","Adjusted taxable income – Second previous tax year"
FDCRY.Ttwcry224,"Y","Y","Is the corporation exempt from the restricted farm loss rules? (A reply of ""NO"" triggers the restricted farm loss rules.)"
FDLOS.SLIPA[2].TtwlosA3,"2023-03-31","2022-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[3].TtwlosA3,"2022-03-31","2021-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[4].TtwlosA3,"2021-03-31","2020-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[5].TtwlosA3,"2020-03-31","2019-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[6].TtwlosA3,"2019-03-31","2018-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[7].TtwlosA3,"2018-03-31","2017-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[8].TtwlosA3,"2017-03-31","2016-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[9].TtwlosA3,"2016-03-31","2015-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[10].TtwlosA3,"2015-03-31","2014-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[11].TtwlosA3,"2014-03-31","2013-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[12].TtwlosA3,"2013-03-31","2012-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[13].TtwlosA3,"2012-03-31","2011-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[14].TtwlosA3,"2011-03-31","2010-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[15].TtwlosA3,"2010-03-31","2009-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[16].TtwlosA3,"2009-03-31","2008-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[17].TtwlosA3,"2008-03-31","2007-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[18].TtwlosA3,"2007-03-31","2006-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[19].TtwlosA3,"2006-03-31","2005-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[20].TtwlosA3,"2005-03-31","2004-03-31","Year of origin – End date of year – Summary and analysis of credit for expenditures incurred"
FDLOS.SLIPA[1].TtwlosA1,"2023-04-01","2022-04-01","History of taxation years"
FDLOS.SLIPA[2].TtwlosA1,"2022-04-01","2021-04-01","History of taxation years"
FDLOS.SLIPA[3].TtwlosA1,"2021-04-01","2020-04-01","History of taxation years"
FDLOS.SLIPA[4].TtwlosA1,"2020-04-01","2019-04-01","History of taxation years"
FDLOS.SLIPA[5].TtwlosA1,"2019-04-01","2018-04-01","History of taxation years"
